,name,phone,principal,grades,division
25,Agnor-Hurt Elementary,434-973-5211,Mrs. Michele Del Gallo Castner,PK-5,Albemarle County Public Schools
26,Alanton Elementary,757-648-2000,Sean Walker,PK-5,Virginia Beach Public Schools
27,Albemarle County Community Public Charter School,434-972-1607,Ms. E. Ashby Kindler,6-8,Albemarle County Public Schools
28,Albemarle High,434-975-9300,Jay Thomas,9-12,Albemarle County Public Schools
29,Albert Harris Elementary School,276-403-5838,Mrs. Felicia Preston,KG-5,Martinsville Public Schools
30,Albert Hill Middle,804-780-6107,Mrs. Raquel Jones,6-8,Richmond Public Schools
31,Alberta Smith Elementary,804-739-6295,Elizabeth Stefanko,PK-5,Chesterfield County Public Schools
32,ALC at Bryant,703-660-2101,Mr. Larry Johnson,,Fairfax County Public Schools
33,ALC at Burke,703-426-7300,Mrs. Jill Jakulski,,Fairfax County Public Schools
34,ALC at Cameron,703-329-2100,Ms. Sue Howell,,Fairfax County Public Schools
35,ALC at Montrose,703-426-7340,Ms. Sue Howell,,Fairfax County Public Schools
36,ALC at Mountain View,571-522-6840,Ms. Zora Marschall,,Fairfax County Public Schools
37,Aldie Elementary,703-957-4380,Shawn Lyons,PK-5,Loudoun County Public Schools
38,Aldrin Elementary,703-904-3800,Mr. Shane Wolfe,PK-6,Fairfax County Public Schools
39,Alfred S. Forrest Elementary,757-825-4627,Ms. Tracie W. Albea,KG-5,Hampton Public Schools
40,Algonkian Elementary,571-434-3240,Jennifer Steeprow,PK-5,Loudoun County Public Schools
41,Alleghany High,540-863-1700,Mr. Fred C. Vaughan Jr.,9-12,Alleghany County Public Schools
42,Altavista Elementary,434-369-5665,Mrs. Amy Abell,PK-5,Campbell County Public Schools
43,Altavista High,434-369-4768,Mr. Ty Gafford,6-12,Campbell County Public Schools
44,Alternative Education Center,540-422-7390,Shelly Neibauer,,Fauquier County Public Schools
45,Alternative Education Center,434-985-1405, ,,Greene County Public Schools
46,Alternative Education Center,434-738-6111,Mrs. Sandra Wingler-Jones,,Mecklenburg County Public Schools
47,Amelia County Elementary,804-561-2433,John Rokenbrod,PK-4,Amelia County Public Schools
48,Amelia County High,804-561-2101,Mr. Tommy Moon,9-12,Amelia County Public Schools
49,Amelia County Middle,804-561-4422,Mr. Wes Eary,5-8,Amelia County Public Schools
50,Amelia Street Special Education,804-780-6275,Ms. Evelyn B. Waddell,PK-12,Richmond Public Schools
51,Amelon Elementary,434-528-6498,Mrs. Donna D Lewis,PK-5,Amherst County Public Schools
52,Amherst County High,434-946-2898,Mr. Haywood Hand,9-12,Amherst County Public Schools
53,Amherst Elementary,434-946-9704,Julie Steele,PK-5,Amherst County Public Schools
54,Amherst Middle,434-946-0691,Ms. Christie L. Cundiff,6-8,Amherst County Public Schools
55,Andrew G. Wright Middle,540-658-6240,Mr. William R. Boatwright,6-8,Stafford County Public Schools
56,Andrew Lewis Middle,540-387-2513,Dr. Forest Jones,6-8,Salem Public Schools
57,Annandale High,703-642-4100,Mr. Vincent Randazzo,9-12,Fairfax County Public Schools
58,Annandale Terrace Elementary,703-658-5600,Ms. Andrea Garris,PK-5,Fairfax County Public Schools
59,Anne E. Moncure Elementary,540-658-6300,Mr. Gregory R. Machi,PK-5,Stafford County Public Schools
60,Anthony Burns Elementary,540-658-6000,Ms. Nancy Coll,KG-5,Stafford County Public Schools
61,Anthony P. Mehfoud Elementary,804-795-7020,Ms. Stacie S. Carlisle,PK-2,Henrico County Public Schools
62,Antietam Elementary,703-497-7619,Ms. Latiesa Green,PK-5,Prince William County Public Schools
63,Appalachia Elementary,276-565-1115,Matthew Dysart,PK-8,Wise County Public Schools
64,Apple Pie Ridge Elementary,540-662-4781,Mr. Justin Raymond,KG-5,Frederick County Public Schools
65,Appomattox County High,434-352-7146,Mrs. Martha J. Eagle,9-12,Appomattox County Public Schools
66,Appomattox Elementary,434-352-7463,Mrs. Karen Cyrus,3-5,Appomattox County Public Schools
67,Appomattox Middle,434-352-8257,Mr. Todd R Reichert,6-8,Appomattox County Public Schools
68,Appomattox Primary,434-352-5766,Mrs. Heather Mullins,PK-2,Appomattox County Public Schools
69,Arcadia High,757-824-5613,Rose Taylor,9-12,Accomack County Public Schools
70,Arcadia Middle,757-824-4862,Mr. Brian Tupper,6-8,Accomack County Public Schools
71,Archer Elementary,703-937-6200,Ms. Michelle Makrigiorgos,PK-6,Fairfax County Public Schools
72,Arcola Elementary,703-957-4390,Dr. Clark Bowers,PK-5,Loudoun County Public Schools
73,Arlington Mill High,703-228-5295,Ms. Barbara Thompson,9-12,Arlington County Public Schools
74,Arlington Science Focus School,703-228-7670,Ms. Mary E. Begley,PK-5,Arlington County Public Schools
75,Arlington Traditional,703-228-6290,Ms. Holly Hawthorne,PK-5,Arlington County Public Schools
76,Armel Elementary,540-869-1657,Raegan Rangel,KG-5,Frederick County Public Schools
77,Armstrong Elementary,703-375-4800,Mr. James Quinn,PK-6,Fairfax County Public Schools
78,Armstrong Elementary,757-727-1067,Ms. Levia M. Stovall,KG-5,Hampton Public Schools
79,Armstrong High,804-780-4449,Mrs. April Hawkins,9-12,Richmond Public Schools
80,Arrowhead Elementary,757-648-2040,Constance James,PK-5,Virginia Beach Public Schools
81,Arthur Ashe Jr. Elementary,804-343-6550,Ms. Kecia O. Lipscomb,PK-5,Henrico County Public Schools
82,Arthur R. Ware Elementary,540-332-3938,Mrs. Sharon Barker,KG-5,Staunton Public Schools
83,Ashburn Elementary,571-252-2350,Michelle Walthour,PK-5,Loudoun County Public Schools
84,Ashby Lee Elementary,540-477-2927,Steve Povlish,PK-5,Shenandoah County Public Schools
85,Ashland Elementary,703-583-8774,Mr. Andrew Jacks,PK-5,Prince William County Public Schools
86,Ashlawn Elementary,703-228-5270,Ms. Judy Apostolico-Buck,PK-5,Arlington County Public Schools
87,Atkins Elementary,276-783-3366,Mr. Gary L. Roberts,PK-5,Smyth County Public Schools
88,Atlee High,804-723-2100,Ms. Jennifer Cohodas,9-12,Hanover County Public Schools
89,Auburn Elementary,540-381-6521,Ms. Marcia Settle,PK-5,Montgomery County Public Schools
90,Auburn High,540-382-5160,Mr. Carl R. Pauli,9-12,Montgomery County Public Schools
91,Auburn Middle,540-428-3750,Mr. Steve Kadilak,6-8,Fauquier County Public Schools
92,Auburn Middle,540-382-5165,Mrs. Guylene Wood-Setzer,6-8,Montgomery County Public Schools
93,Axton Elementary,276-650-1193,Mrs. Jo Ellen Hylton,PK-5,Henry County Public Schools
94,Azalea Gardens Middle,757-531-3000,Dr. Reuthenia Clark,6-8,Norfolk Public Schools
95,B.C. Charles Elementary,757-886-7750,Mr. Clyde (Reggie) Alston,PK-5,Newport News Public Schools
96,B.M. Williams Primary,757-547-0238,Mr. Thomas P. Moyer,PK-2,Chesapeake Public Schools
97,B.T. Washington Middle,757-928-6860,Ms. Deborah L. Fields,6-8,Newport News Public Schools
98,Back Creek Elementary,540-772-7565,Ms. Virginia Sharp,PK-5,Roanoke County Public Schools
99,Bacon District Elementary,434-735-8612,Mrs. Sylvia R. Lockett,KG-5,Charlotte County Public Schools
100,Badger Vocational Education Center - North,757-824-6386, ,,Accomack County Public Schools
101,Badger Vocational Education Center - South,757-787-4522, ,,Accomack County Public Schools
102,Bailey Bridge Middle,804-739-6200,Kume Goranson,6-8,Chesterfield County Public Schools
103,Bailey's Elementary School for the Arts and Sciences,703-575-6800,Ms. Marie M. Lemmon,PK-5,Fairfax County Public Schools
104,Baker-Butler Elementary,434-974-7777,Mr. David Cushman,PK-5,Albemarle County Public Schools
105,Baldwin Elementary,571-377-6100,Dr. Ashley Cramp,KG-4,Manassas Public Schools
106,Ball's Bluff Elementary,571-252-2880,Dr. Melinda D. Carper,PK-5,Loudoun County Public Schools
107,Banneker Elementary,540-751-2480,Deborah Lee,PK-5,Loudoun County Public Schools
108,Barcroft Elementary,703-228-5838,Ms. Colette Bounet,PK-5,Arlington County Public Schools
109,Barrett Elementary,703-228-6288,Mr. Dan Redding,PK-5,Arlington County Public Schools
110,Barron Elementary,757-850-5100,Ms. Andrea L. Riddick,PK-5,Hampton Public Schools
111,Bassett High,276-629-1731,Mr. John M. Gibbs,9-12,Henry County Public Schools
112,Bass-Hoover Elementary,540-869-4700,Mr. Joseph C. Strong,KG-5,Frederick County Public Schools
113,Bath County High,540-839-2431,Mrs. Sarah Rowe,8-12,Bath County Public Schools
114,Battlefield Elementary,540-786-4532,Mrs. Susan C. Fines,PK-5,Spotsylvania County Public Schools
115,Battlefield High,571-261-4400,Amy S. Ethridge-Conti,9-12,Prince William County Public Schools
116,Battlefield Middle,540-786-4400,Mrs. Sheila B. Smith,6-8,Spotsylvania County Public Schools
117,Battlefield Park Elementary,804-723-3600,Ms. Judy L. Bradley,PK-5,Hanover County Public Schools
118,Bay View Elementary,757-531-3030,Dr. Deborah Mansfield,PK-5,Norfolk Public Schools
119,Bayside Elementary,757-648-2080,Catherine Brumm,PK-5,Virginia Beach Public Schools
120,Bayside High,757-648-5200,James D Miller,9-12,Virginia Beach Public Schools
121,Bayside Middle,757-648-4400,Ms. Paula Johnson,6-8,Virginia Beach Public Schools
122,Baywood Elementary,276-236-4868,Mr. Clark Nuckolls,PK-5,Grayson County Public Schools
123,Beaverdam Elementary,804-449-6373,Mr. Charles E. Joseph,PK-5,Hanover County Public Schools
124,Bedford County Alternative Education Center,540-586-1270,Mr. Gus Exstrom,,Bedford County Public Schools
125,Bedford Elementary,540-586-0275,Mrs. Elizabeth A. Winter,2-5,Bedford County Public Schools
126,Bedford Hills Elementary,434-384-2221,Faye E. James,PK-5,Lynchburg Public Schools
127,Bedford Middle,540-586-7735,Mrs. Rhetta J. Watkins,6-8,Bedford County Public Schools
128,Bedford Primary,540-586-8339,Ms. Lisa Dellis,PK-1,Bedford County Public Schools
129,Beech Tree Elementary,703-531-2600,Karim Daugherty,PK-5,Fairfax County Public Schools
130,Bel Air Elementary,703-670-4050,Clint Mitchell,PK-5,Prince William County Public Schools
131,Belfast Elk Garden Elementary,276-880-2283,Ms. Georgia McCoy,KG-5,Russell County Public Schools
132,Belfield Elementary,434-634-5566,Ms. Mary Person,5,Greensville County Public Schools
133,Belle Heth Elementary,540-731-3653,Mr. Jack McKinley,3-6,Radford Public Schools
134,Belle View Elementary,703-660-8300,Mr. Thomas P. Kuntz,PK-6,Fairfax County Public Schools
135,Bellevue Elementary,804-780-4417,Mrs. Regina T. Farr,PK-5,Richmond Public Schools
136,Bellwood Elementary,804-743-3600,Jennifer Rudd,PK-5,Chesterfield County Public Schools
137,Belmont Elementary,703-494-4945,Ms. Roxana Hudson,PK-5,Prince William County Public Schools
138,Belmont Ridge Middle,571-252-2220,Ryan Hitchman,6-8,Loudoun County Public Schools
139,Belmont Station Elementary,571-252-2240,Lori Mercer,PK-5,Loudoun County Public Schools
140,Belvedere Elementary,703-916-6800,Ms. Cecilia Vanderhye,PK-5,Fairfax County Public Schools
141,Belview Elementary,540-633-3200,Ms. Tara Grant,PK-5,Montgomery County Public Schools
142,Benjamin F. Yancey Elementary,434-974-8060,Craig Dommer,PK-5,Albemarle County Public Schools
143,Benjamin Franklin Middle-East,540-483-5105,Brenda Muse,6,Franklin County Public Schools
144,Benjamin Franklin Middle-West,540-483-5105,Brenda Muse,7-8,Franklin County Public Schools
145,Benjamin Syms Middle,757-850-5050,Ms. Sharon S. Slater,6-8,Hampton Public Schools
146,Bennett Elementary,703-361-8261,Mr. Matthew Ritter,PK-5,Prince William County Public Schools
147,Bensley Elementary,804-743-3610,Mrs. Bessie Cooper,PK-5,Chesterfield County Public Schools
148,Berkeley Elementary,540-582-5141,Mr. K. Michael Brown,PK-5,Spotsylvania County Public Schools
149,Berkeley Glenn Elementary,540-946-4680,Ms. Sharon B. Tooley,KG-5,Waynesboro Public Schools
150,Berkeley Middle,757-229-8051,Karen Swann,6-8,Williamsburg-James City County Public Schools
151,Berkley/Campostella Early Childhood Education Center,757-494-3870,Dr. Doreatha White,PK,Norfolk Public Schools
152,Bessie Weller Elementary,540-332-3940,Mrs. Linda Mahler,KG-5,Staunton Public Schools
153,Bethel Elementary,804-693-2360,Ms. Eileen Kersmarki,PK-5,Gloucester County Public Schools
154,Bethel High,757-825-4400,Mr. Ralph J. Saunders,9-12,Hampton Public Schools
155,Bethel Manor Elementary,757-867-7439,Dr. Elizabeth B. Poulsen,KG-5,York County Public Schools
156,Bettie Weaver Elementary,804-378-2540,Dr. Holly Richard,PK-5,Chesterfield County Public Schools
157,Beulah Elementary,804-743-3620,Ms. Mary Jean Hunt,PK-5,Chesterfield County Public Schools
158,Beverley Manor Elementary,540-885-8024,Mrs. Dawn P. Young,PK-5,Augusta County Public Schools
159,Beverley Manor Middle,540-886-5806,Mrs. Forrest O. Burgdorf,6-8,Augusta County Public Schools
160,Big Island Elementary,434-299-5863,Mr. Wayne Lyle Jr.,PK-6,Bedford County Public Schools
161,Binford Middle,804-780-6231, ,6-8,Richmond Public Schools
162,Birdneck Elementary,757-648-2120,Mr. Irv Beard,PK-5,Virginia Beach Public Schools
163,Blacksburg High,540-951-5706,Mr. Brian Kitts,9-12,Montgomery County Public Schools
164,Blacksburg Middle,540-951-5800,Mr. John Wheeler,6-8,Montgomery County Public Schools
165,Blackstone Primary,434-292-5300,Mrs. Ruth Ann Horn,PK-4,Nottoway County Public Schools
166,Blackwell Elementary,804-780-5078,Mr. Reginald Williams,PK-5,Richmond Public Schools
167,Blair Middle,757-628-2400,Dr. Jannette Martin,6-8,Norfolk Public Schools
168,Bland Elementary,276-688-3621,Mrs. Diana Tibbs,KG-7,Bland County Public Schools
169,Bland High,276-688-3621,Mr. Temple Musser,8-12,Bland County Public Schools
170,Blandford Academy,804-862-7078,Mr. Giron Wooden,,Petersburg Public Schools
171,Blue Ridge Elementary,276-251-5271,Mrs. Sandra Clement,KG-7,Patrick County Public Schools
172,Blue Ridge Middle,540-751-2520,Brion Bell,6-8,Loudoun County Public Schools
173,Bluestone High,434-372-5177,Christopher Coleman,9-12,Mecklenburg County Public Schools
174,Bluestone Middle,434-372-3266,Mary Shores,6-8,Mecklenburg County Public Schools
175,Body Camp Elementary,540-297-7391,Mr. Scott Graham,PK-5,Bedford County Public Schools
176,Bon Air Elementary,804-560-2700,Mr. Bruce C. Tetlow,PK-5,Chesterfield County Public Schools
177,Bonnie Brae Elementary,703-321-3900,Ms. Kathy Bruce,PK-6,Fairfax County Public Schools
178,Bonsack Elementary,540-977-5870,Ms. Melissa Jones,PK-5,Roanoke County Public Schools
179,Booker Elementary,757-850-5096,Ms. Milicent Y. Rogers,KG-5,Hampton Public Schools
180,Booker T. Washington Elementary,757-934-6226,Dr. David Reitz,PK-5,Suffolk Public Schools
181,BOOKER T. WASHINGTON HIGH SCHOOL,757-628-3575,Mrs. Adrian Day,9-12,Norfolk Public Schools
182,Boones Mill Elementary,540-334-4000,Ms. Tomeka Campbell,PK-5,Franklin County Public Schools
183,Boonsboro Elementary,434-384-2881,Elizabeth Williams,KG-5,Bedford County Public Schools
184,Botetourt Elementary,804-693-2151,Dr. Bambi L. Thompson,PK-5,Gloucester County Public Schools
185,Botetourt Technical Education Center,540-473-8216,Mr. Joe Harden,,Botetourt County Public Schools
186,Bowling Green Elementary,804-633-6401,Mr. Jason Mack,PK-5,Caroline County Public Schools
187,Boyce Elementary,540-955-6115,Mrs. Susan Catlett,KG-5,Clarke County Public Schools
188,Braddock Elementary,703-914-7300,Ms. Cindy Botzin,PK-5,Fairfax County Public Schools
189,Brandon Middle,757-648-4450,Christy McQueeney,6-8,Virginia Beach Public Schools
190,Breckinridge Elementary,540-473-8386,Ms. Debra D. Deitrich,PK-5,Botetourt County Public Schools
191,Breckinridge Middle,540-853-2251,Ms. Tracey Anderson,6-8,Roanoke Public Schools
192,Bren Mar Park Elementary,703-914-7200,Ms. Anita Lynch,PK-5,Fairfax County Public Schools
193,Brentsville District High,703-594-2161,Ms. Katherine Meints,9-12,Prince William County Public Schools
194,Briar Woods High,703-957-4400,Mr. Edward A. Starzenski,9-12,Loudoun County Public Schools
195,Brighton Elementary,757-393-8870,Mrs. Barbara J Shears-Walker,KG-6,Portsmouth Public Schools
196,Bristow Run Elementary,703-753-7741,Jessica Parker,PK-5,Prince William County Public Schools
197,Broad Rock Elementary,804-780-5048,Mrs. Carmen E. Rush,PK-5,Richmond Public Schools
198,Broad Run High,571-252-2300,Doug Anderson,9-12,Loudoun County Public Schools
199,Broadus Wood Elementary,434-973-3865,Kendra King,PK-5,Albemarle County Public Schools
200,Broadway High,540-896-7081,Mr. Bryan Huber,9-12,Rockingham County Public Schools
201,Brock Road Elementary,540-972-3870,Barbara Dickinson,PK-5,Spotsylvania County Public Schools
202,Brooke Point High,540-658-6080,Mr. Scott W. McClellan,9-12,Stafford County Public Schools
203,Brookfield Elementary,703-814-8700,Mrs. Mary L Miller,PK-6,Fairfax County Public Schools
204,Brookland Middle,804-261-5000,Mr. Derrick D. Deloatch,6-8,Henrico County Public Schools
205,Brookneal Elementary,434-376-2042,Wendy Thomas,PK-5,Campbell County Public Schools
206,Brookville High,434-239-2636,Mr. Tom Cole,9-12,Campbell County Public Schools
207,Brookville Middle,434-239-9267,Mr. Edwin R. Martin,6-8,Campbell County Public Schools
208,Brookwood Elementary,757-648-2160,Mike Taylor,PK-5,Virginia Beach Public Schools
209,Brosville Elementary,434-685-7787,Mrs. Felita F. Atkins,PK-5,Pittsylvania County Public Schools
210,Brownsville Elementary,434-823-4658,India Haun,PK-5,Albemarle County Public Schools
211,Brunswick High,434-848-2716,Dr. Virginia Glass Berry,9-12,Brunswick County Public Schools
212,Bruton High,757-220-4050,Alexis Swanson,9-12,York County Public Schools
213,Bryant Alternative High,703-660-2001,Mr. Larry Jones,7-12,Fairfax County Public Schools
214,Buchanan County Technical & Career Center,276-935-4541,Mrs. Sandra S. Cook,,Buchanan County Public Schools
215,Buchanan Elementary,540-254-2084,Ms. Debbie H. Garrett,PK-5,Botetourt County Public Schools
216,Buckingham Co Elementary,434-505-0000,Mrs. Cindy O'Brien,3-5,Buckingham County Public Schools
217,"Buckingham Co prekindergarten center</strong>, ", ,PK,Buckingham County Public Schools,
218,Buckingham Co Primary,434-505-0001,Mrs. Pennie Allen,KG-2,Buckingham County Public Schools
219,Buckingham County High,434-969-6160,Mr. Roger Coleman III,9-12,Buckingham County Public Schools
220,Buckingham County Middle,434-969-1044,Mr. J.B. Heslip,6-8,Buckingham County Public Schools
221,Buckland Mills Elementary,703-530-1560,Ms. Connie S. Balkcom,PK-5,Prince William County Public Schools
222,Bucknell Elementary,703-660-2900,Mr. Timothy H Slayter,PK-6,Fairfax County Public Schools
223,Buffalo Gap High,540-337-6021,Mr. William R. Deardorff,9-12,Augusta County Public Schools
224,Buffalo Trail Elementary,703-722-2780,Alisa Rogaliner,KG-5,Loudoun County Public Schools
225,Buford Middle,434-245-2411,Mr. Eric D. Johnson,7-8,Charlottesville Public Schools
226,Bull Run Elementary,703-227-1400,Ms. Patrice Brown,PK-6,Fairfax County Public Schools
227,Bull Run Middle,703-753-9969,Mr. Matthew T. Phythian,6-8,Prince William County Public Schools
228,Burke School,703-426-7300,Mrs. Jill Jakulski,,Fairfax County Public Schools
229,Burkeville Elementary,434-767-5236,Mrs. Carrie Gravely,PK-KG,Nottoway County Public Schools
230,Burlington Elementary,540-561-8165,Ms. Amy Shank,PK-5,Roanoke County Public Schools
231,Burnley-Moran Elementary,434-245-2413,Dr. Dawn M. Locasale,PK-4,Charlottesville Public Schools
232,Burnt Chimney Elementary,540-721-2936,Mr. Derek Bryant,PK-5,Franklin County Public Schools
233,Burton Center for Arts and Technology,540-857-5000, ,,Roanoke County Public Schools
234,Bush Hill Elementary,703-924-5600,Ms. Cecelia K Breazeale,PK-6,Fairfax County Public Schools
235,Butts Road Intermediate,757-482-4566,Mrs. Mindy Green,3-5,Chesapeake Public Schools
236,Butts Road Primary,757-482-5820,Mr. James S. Lewter,PK-2,Chesapeake Public Schools
237,Byrd Elementary,804-556-5380,Mr. James B. Hopkins,PK-5,Goochland County Public Schools
238,C. Alton Lindsay Middle,757-825-4560,Ms. Angela N. Byrd-Wright,6-8,Hampton Public Schools
239,C. Hunter Ritchie Elementary,540-422-7650,Christy Thorpe,PK-5,Fauquier County Public Schools
240,C.A. Sinclair Elementary,703-361-4811,Donna T. Fagerholm,PK-5,Prince William County Public Schools
241,C.C. Wells Elementary,804-768-6265,Ms. Robin Morgan,PK-5,Chesterfield County Public Schools
242,C.D. Hylton High,703-580-4000,Mr. David Cassady,9-12,Prince William County Public Schools
243,C.E. Curtis Elementary,804-768-6175,Susan Pereira,PK-5,Chesterfield County Public Schools
244,C.M. Bradley Elementary,540-422-7510,Banks Beth,PK-5,Fauquier County Public Schools
245,Callaghan Elementary,540-965-1810,Mrs. Nancy M. Moga,KG-5,Alleghany County Public Schools
246,Callaway Elementary,540-483-0364,Mr. Jason Guilliams,PK-5,Franklin County Public Schools
247,Camelot Elementary,757-558-5347,Dr. Karen Cooper-Collins,PK-5,Chesapeake Public Schools
248,Camelot Elementary,703-645-7000,Ms. Aileen K Flaherty,PK-6,Fairfax County Public Schools
249,Cameron Elementary,703-329-2100,Jeannie McCurry,PK-6,Fairfax County Public Schools
250,Camp Allen Elementary,757-451-4170,Ms. Deena Copeland,PK-5,Norfolk Public Schools
251,Campbell County Technical Center,434-821-6213,Mr. Jon Hardie,,Campbell County Public Schools
252,Campbell Court Elementary,276-629-5344,Mrs. Pattie B. Walmsley,PK-5,Henry County Public Schools
253,Campbell Elementary,703-228-6770,Ms. Maureen Nesselrode,PK-5,Arlington County Public Schools
254,Campostella Elementary,757-628-2555,Dr. Rhonda Ambrose,PK-5,Norfolk Public Schools
255,Canterbury Woods Elementary,703-764-5600,Ms. Barbara Messinger,PK-6,Fairfax County Public Schools
256,Capron Elementary,434-658-4348,Mrs. Allison Francis,PK-5,Southampton County Public Schools
257,Captain John Smith Elementary,757-850-5088,Ms. Elizabeth W. Franks,PK-5,Hampton Public Schools
258,Cardinal Forest Elementary,703-923-5200,Ms. Karen H. Kenna,PK-6,Fairfax County Public Schools
259,Career & Technical Education Center,276-739-3100,Mr. Brian Johnson,,Washington County Public Schools
260,Carl B. Hutcherson Building,434-522-3756,Ms. Polly P. Smith,,Lynchburg Public Schools
261,Carlin Springs Elementary,703-228-6645,Ms. Corina Coronel,PK-5,Arlington County Public Schools
262,Caroline High,804-633-9886,Mr. Jeff Wick,9-12,Caroline County Public Schools
263,Caroline Middle,804-633-6561,Angela Wright,6-8,Caroline County Public Schools
264,Carroll County Education Center,276-728-9055,Mr. Jesse DA Woods,,Carroll County Public Schools
265,Carroll County High,276-728-2125,Mr. Charles T. Thompson,9-12,Carroll County Public Schools
266,Carroll County Middle School,276-728-4211,Mr. Marc G. Quesenberry,6-8,Carroll County Public Schools
267,Carrollton Elementary,757-238-2452,Mr. Kevin Goetz,PK-3,Isle of Wight County Public Schools
268,Carrsville Elementary,757-562-4054,Ms. Laura Matthews,PK-5,Isle of Wight County Public Schools
269,Carson Middle,703-925-3600,Mr. August Frattali,7-8,Fairfax County Public Schools
270,Carter G. Woodson Middle,804-541-6404,Mr. Shannon Royster,6-8,Hopewell Public Schools
271,Carver Elementary,276-957-2226,Mrs. Judy Edmonds,PK-5,Henry County Public Schools
272,Carver Elementary,757-591-4950,Ms. Izzie Brown,PK-5,Newport News Public Schools
273,Carver Middle,804-524-3620,Mr. Donald Ashburn,6-8,Chesterfield County Public Schools
274,Carysbrook Elementary,434-842-1241,Mr. Donald Stribling,3-4,Fluvanna County Public Schools
275,Cashell Donahoe Elementary,804-328-4035,Mr. Joseph D. Koontz,PK-5,Henrico County Public Schools
276,Cassell Elementary,540-946-7635,Dr. Mindy G. Garber,PK-5,Augusta County Public Schools
277,Castlewood Elementary,276-762-2315, ,1-7,Russell County Public Schools
278,Castlewood High,276-762-9449,Dr. Thomas Graves,8-12,Russell County Public Schools
279,Catoctin Elementary,571-252-2940,Ms. Jennifer Rueckert,PK-5,Loudoun County Public Schools
280,Cave Spring Elementary,540-772-7558,Ms. Jodi Poff,PK-5,Roanoke County Public Schools
281,Cave Spring High,540-772-7550,Mr. Steve Spangler,9-12,Roanoke County Public Schools
282,Cave Spring Middle,540-772-7560,Mr. Steve Boyer,6-8,Roanoke County Public Schools
283,Cedar Bluff Elementary,276-963-5765,Ms. Charity McDaniel,PK-5,Tazewell County Public Schools
284,Cedar Forest Elementary,540-834-4569,Mr. David O. Strawn II,PK-5,Spotsylvania County Public Schools
285,Cedar Lane Elementary,571-252-2120,Robert Marple,PK-5,Loudoun County Public Schools
286,Cedar Lane School,703-208-2400,Mr. Thomas P. Lundy,,Fairfax County Public Schools
287,Cedar Lee Middle,540-439-3207,Mr. Steven Parker,6-8,Fauquier County Public Schools
288,Cedar Point Elementary,703-365-0963,Mark Anthony Marinoble,PK-5,Prince William County Public Schools
289,Cedar Road Elementary,757-547-0166,Mr. Michael R. Bailey,PK-5,Chesapeake Public Schools
290,Center for Diversified Studies,804-261-5058, ,,Henrico County Public Schools
291,Centerville Elementary,757-648-2200,Mr. Thomas H. Chowns,PK-5,Virginia Beach Public Schools
292,Central Academy Middle,540-473-8333,Mr. Timothy A. McClung,6-8,Botetourt County Public Schools
293,Central Elementary,434-946-9700,Mrs. Kathleen M Pierce,PK-5,Amherst County Public Schools
